DATE,STATION LEVEL PRESSURE 0830 IST,STATION LEVEL PRESSURE1730 IST,MEAN SEA LEVEL PRESSURE0830 IST,MEAN SEA LEVEL PRESSURE1730 IST,MAX TEMP,MIN TEMP,VAPOUR PRESSURE0830 IST,VAPOUR PRESSURE1730 IST,RELATIVE HUMIDITY ( %)0830 IST,RELATIVE HUMIDITY ( %)1730 IST,RAIN FALL    (IN MM),LOCATION
1,,,,,37.1,16.30,,,46,16,0,PILANI
2,,,,,37.8,17.10,,,36,17,0,PILANI
3,,,,,39.4,16.90,,,26,23,0,PILANI
4,,,,,41.4,21.70,,,44,18,0,PILANI
5,,,,,42.1,23.10,,,48,23,0,PILANI
6,,,,,41.5,23.80,,,47,19,0,PILANI
7,,,,,38.4,23.10,,,58,23,0,PILANI
8,,,,,37.6,20.10,,,56,22,0,PILANI
9,,,,,38.6,22.10,,,51,19,0,PILANI
10,,,,,38.9,24.30,,,48,20,0,PILANI
11,,,,,39.2,22.70,,,44,36,0,PILANI
12,,,,,38.5,23.30,,,47,25,0,PILANI
13,,,,,35.7,23.10,,,43,31,0,PILANI
14,,,,,38.5,21.30,,,54,26,0,PILANI
15,,,,,39.9,23.80,,,46,25,0,PILANI
16,,,,,30.6,20.90,,,83,39,4.6,PILANI
17,,,,,27.7,18.30,,,74,88,0,PILANI
18,,,,,30,15.70,,,82,40,6.7,PILANI
19,,,,,31.4,19.30,,,49,39,0,PILANI
20,,,,,35.1,18.30,,,61,37,0,PILANI
21,,,,,38.6,20.10,,,56,21,0,PILANI
22,,,,,40.1,21.70,,,42,17,0,PILANI
23,,,,,42.1,22.50,,,45,22,0,PILANI
24,,,,,42.4,24.80,,,25,18,0,PILANI
25,,,,,42.5,24.80,,,46,14,0,PILANI
26,,,,,42.4,25.30,,,45,23,0,PILANI
27,,,,,40.7,23.10,,,39,18,0,PILANI
28,,,,,41.2,22.30,,,30,18,0,PILANI
29,,,,,41.6,22.70,,,34,18,0,PILANI
30,,,,,42.5,25.10,,,27,14,0,PILANI
31,,,,,,,,,,,0,PILANI
1,979.9,975.9,1010.5,1005.6,38.7,18.20,9.8,7.5,25,12,0,KOTA
2,979.9,975.8,1010.6,1005.3,39.4,21.60,9,8.8,24,14,0,KOTA
3,978.6,975.2,1009.1,1004.7,41.6,20.70,11.8,7.7,30,10,0,KOTA
4,979.2,975,1009.9,1004.3,41.9,21.20,13.9,9.8,33,13,0,KOTA
5,978.1,974.2,1008.3,1003.3,43.4,23.70,12.3,9.8,26,12,0,KOTA
6,979.3,973.4,1009.6,1002.6,42.1,24.00,16.6,8.1,37,10,0,KOTA
7,975.6,971.3,1005.6,1000.5,42.4,29.10,12.4,8.5,23,11,0,KOTA
8,977.1,973.4,1007.5,1002.7,40.7,23.50,15.6,13.6,38,19,0,KOTA
9,975,972.5,1005.2,1001,42,24.20,12.1,9.5,27,12,0,KOTA
10,977.3,974.6,1007.2,1003.8,41.9,25.70,13.8,12.9,27,17,0,KOTA
11,978.3,972.3,1008.2,1002.4,42.8,24.20,12.3,12.2,23,15,0,KOTA
12,978.1,973.9,1008.2,1003.1,42,25.40,16.9,11.7,25,15,0,KOTA
13,978.9,973.8,1009.3,1002.9,42.3,25.80,16.5,11.1,36,14,0,KOTA
14,979.1,974.6,1009.5,1003.7,42.2,25.60,16.3,12.9,36,16,0,KOTA
15,978.5,976.3,1008.1,1006.1,41,25.00,14.7,12.3,30,22,0,KOTA
16,979.2,975.6,1010.4,1007,32.9,19.60,20.8,18.1,76,89,7.2,KOTA
17,980.6,976.8,1012,1007.1,30.5,18.20,19,14.1,77,55,28,KOTA
18,980.9,977.3,1012,1007.4,34,21.90,22.4,14.8,75,30,0,KOTA
19,979.8,976.3,1010.7,1006.3,34.5,22.00,18.6,11.8,56,23,0,KOTA
20,977.7,974.6,1008.1,1004.7,36.8,22..2,13.4,12.5,32,21,0,KOTA
21,976.4,973,1006.7,1003.5,38.9,22.60,16.5,9.7,40,14,0,KOTA
22,979.1,973.1,1009.3,1002.5,41.5,26.30,12.1,8.6,25,12,0,KOTA
23,977,974.1,1007.1,1003.2,42.9,25.40,11,7.5,22,9,0,KOTA
24,978.3,974.5,1008.3,1003.6,42.8,27.40,13.4,10.4,26,13,0,KOTA
25,978.5,974.4,1008.5,1003.5,42.9,28.40,12.3,11.4,24,13,0,KOTA
26,977.3,973.3,1007.2,1002.4,43.5,29.40,17.8,12.5,32,15,0,KOTA
27,977.9,972.9,1008,1002,43.3,27.20,17.5,10.6,35,13,0,KOTA
28,976.8,971.3,1006.6,1000.3,43.6,26.60,12.9,12.7,23,15,0,KOTA
29,975.3,970.1,1005.3,999,43.9,26.00,11.5,7.1,23,8,0,KOTA
30,972.8,968.6,1002.4,997.4,42.3,27.50,11.5,7.4,20,9,0,KOTA
31,,,,,,,,,,,,KOTA
1,985.7,981.9,1010.6,1005.7,39,20.00,9.5,7.3,27,11,0,JODHPUR
2,985.7,981.1,1010.5,1004.9,40.6,20.10,9.1,7.2,24,10,0,JODHPUR
3,983.9,980.4,1008.7,1004,41.1,20.90,9.1,8.1,25,10,0,JODHPUR
4,985,981,1009.7,1004.5,42.8,22.70,8.8,9.5,24,11,0,JODHPUR
5,984.6,981.1,1009.2,1004.7,42.2,25.70,10.5,7.4,25,9,0,JODHPUR
6,985.4,980.1,1010.1,1003.8,40.9,24.10,14.2,8.2,36,11,0,JODHPUR
7,982.4,977.2,1006.8,1000.6,41.8,27.50,16.9,9.5,39,12,0,JODHPUR
8,981.7,978,1006.2,1001.7,41.2,23.80,13.2,7.1,31,10,0,JODHPUR
9,982.1,979,1006.6,1002.6,41.6,27.00,16.2,8.8,39,12,0,JODHPUR
10,983.5,981,1009,1004.6,41.2,27.90,16.1,10.6,37,14,0,JODHPUR
11,984.3,980,1008.8,1003.6,41.2,28.10,11.8,9.2,26,12,0,JODHPUR
12,985,980.5,1009.7,1004.2,40.5,25.50,15.8,10.2,40,14,0,JODHPUR
13,984.3,981.4,1008.9,1005.1,41,23.90,11.1,8.6,27,12,0,JODHPUR
14,985.1,980.7,1009.7,1004.4,40.9,24.20,10.1,9.2,25,13,0,JODHPUR
15,983.6,980.2,1008.1,1004.1,40.2,26.10,12.9,12.4,30,20,0,JODHPUR
16,984.6,979.2,1009.5,1003.5,33.2,25.60,14.6,12.1,43,24,TRACE,JODHPUR
17,985.5,982.8,1010.5,1007.4,32,19.70,14.8,12.2,49,28,0,JODHPUR
18,987.9,984.5,1012.9,1009.3,33.4,21.50,16,12.1,46,25,0,JODHPUR
19,986.9,982.4,1011.8,1006.5,34.9,22.10,14.1,12.7,41,24,0,JODHPUR
20,983.6,978.9,1008.3,1002.7,38,21.80,13.5,12.9,35,20,0,JODHPUR
21,982.4,978.6,1006.9,1002.3,40.2,22.90,11.5,10.9,27,15,0,JODHPUR
22,983,979.6,1007.5,1003.2,41.8,26.00,12.5,8.7,28,11,0,JODHPUR
23,983.8,981,1008.3,1004.5,43.5,25.70,13.6,10.3,30,13,0,JODHPUR
24,985.4,980.4,1009.8,1003.9,42.4,28.70,11.5,8.5,25,11,0,JODHPUR
25,985.1,980.3,1009.6,1003.9,42.4,26.20,14.2,12,33,16,0,JODHPUR
26,983.7,980.1,1008,1003.6,42.5,27.90,15.5,10.1,29,13,0,JODHPUR
27,983.4,979.1,1007.7,1002.6,43.2,27.10,11.2,9.7,22,11,0,JODHPUR
28,982.3,978,1006.6,1001.5,43.4,26.10,10.7,8.6,23,10,0,JODHPUR
29,981.7,976,1006,999.4,44.7,25.40,10.4,8.4,22,11,0,JODHPUR
30,979,974.1,1003.4,997.6,41.7,27.10,16.7,7.8,37,10,0,JODHPUR
31,,,,,,,,,,,,JODHPUR
1,981.9,979.3,1008.1,1004.2,39.6,22.30,9.9,4.6,32,7,0,JAISALMER
2,981.9,977.8,1007.8,1002.6,41.4,23.00,7.8,6.7,21,9,0,JAISALMER
3,980.6,977.4,1006.4,1002.1,41.8,23.80,9.6,8,26,10,0,JAISALMER
4,981,977.7,1006.7,1002.2,43.5,26.70,9.9,7.4,24,9,0,JAISALMER
5,980.3,977.4,1005.9,1002,43.3,27.40,9,11.5,20,14,0,JAISALMER
6,980.8,978,1006.6,1002.6,42.4,24.40,21.6,10.3,59,13,0,JAISALMER
7,978.1,974.9,1003.8,999.5,43.6,27.10,22.5,6.9,57,8,0,JAISALMER
8,977.5,975.9,1003.2,1000.6,41.4,25.60,14.3,8,37,11,0,JAISALMER
9,977.8,975.3,1003.6,1000,42.7,25.50,16.7,7.4,45,9,0,JAISALMER
10,979.9,977.7,1005.6,1002.4,41.4,25.90,17.6,11.4,46,15,0,JAISALMER
11,981,976.6,1006.9,1001.3,41.4,27.10,16.5,10.8,45,15,0,JAISALMER
12,980.9,976.8,1006.6,1001.5,41.5,26.20,14.6,9.9,37,14,0,JAISALMER
13,981.7,977.9,1007.7,1002.8,39.4,24.80,18.3,13.2,54,19,0,JAISALMER
14,982.1,978.8,1008.1,1003.7,39,25.50,21.7,13.8,62,21,0,JAISALMER
15,980.8,979.3,1006.5,1004.7,36.4,26.70,20.1,12.7,51,26,0,JAISALMER
16,979.3,976.2,1005.5,1002.3,32.5,21.40,18.9,16.3,64,56,0,JAISALMER
17,981.2,979.9,1007.5,1005.6,30.2,18.00,13.8,11.7,51,29,0.7,JAISALMER
18,985.9,982.8,1012.4,1008.3,32.4,18.40,17.6,13.4,70,29,0,JAISALMER
19,983.6,979.3,1009.7,1004.5,36.2,20.50,15.4,13.1,47,23,0,JAISALMER
20,979.8,975.6,1005.5,1000.4,39.3,23.80,12.3,11.6,31,17,0,JAISALMER
21,978.2,975.2,1004,999.9,41.8,23.80,19.3,13.2,53,17,0,JAISALMER
22,978.4,977.3,1004.1,1001.9,43,24.60,21,15.1,54,18,0,JAISALMER
23,979.6,976.9,1005.1,1001.5,43.7,26.80,17.8,19.9,37,24,0,JAISALMER
24,980.7,976.7,1006.3,1001.4,42.6,25.60,19.3,23.8,45,31,0,JAISALMER
25,981.3,977.8,1007.1,1002.6,40.5,27.10,23.7,19,61,26,0,JAISALMER
26,980.2,977.4,1005.7,1002,42.9,28.00,22.2,11.4,48,14,0,JAISALMER
27,980.4,976.7,1005.8,1001.3,42.8,29.50,14.6,11.5,29,14,0,JAISALMER
28,978.5,974.7,1003.8,999.1,43.8,29.10,13,13.4,25,16,0,JAISALMER
29,976.5,971.9,1002.1,996.1,44.3,27.80,15.3,14.6,37,17,0,JAISALMER
30,973.6,971,999.2,995.5,41.7,25.60,18.5,17.1,43,22,0,JAISALMER
31,,,,,,,,,,,,JAISALMER
1,972.7,969.6,1011,1006.1,37.3,20.70,11.7,4.5,37,8,0,JAIPUR
2,973.1,969.2,1010.8,1005.9,37.5,20.20,14.5,10,40,16,0,JAIPUR
3,965.9,963,1009.1,1004.7,39.3,21.10,14.5,8.1,38,12,0,JAIPUR
4,966.9,963.2,1009.8,1004.7,40.6,27.60,14.9,7.9,34,11,0,JAIPUR
5,965.6,963,1008.5,1004.9,41.3,24.80,13.1,15.5,29,25,0,JAIPUR
6,966,961.1,1008.9,1002.6,41.3,27.60,14.3,9.9,33,14,0,JAIPUR
7,963.2,960,1006,1001.5,39.8,27.80,15.7,8.3,36,13,0,JAIPUR
8,964.3,960.8,1007.5,1002.6,37.7,24.00,19.5,12.2,53,23,0,JAIPUR
9,963.3,960.9,1006.1,1002.4,39.9,25.40,20.1,13.8,48,20,0,JAIPUR
10,965.6,962.8,1008.5,1004.4,40,25.20,20.1,16.2,45,23,0,JAIPUR
11,965.8,961.7,1008.5,1003.2,40.8,29.30,17.8,12,37,17,0,JAIPUR
12,965.9,962.4,1008.8,1004,39.8,27.10,16.1,13.2,37,20,0,JAIPUR
13,966.9,962.5,1019.8,1004.1,39.8,27.10,17.9,14.5,41,21,0,JAIPUR
14,965.8,963.4,1008.7,1004.9,39.8,25.80,14.8,11.2,34,16,0,JAIPUR
15,965.6,961.1,1008.2,1002.7,39.8,27.50,13.9,10.9,29,16,0,JAIPUR
16,967.1,967.3,1011,1011.9,32.4,23.00,17.5,16.5,55,71,TRACE,JAIPUR
17,967.7,964.9,1012.3,1008.6,28.5,17.60,19.1,15.4,83,44,13.8,JAIPUR
18,968.6,966.2,1012.9,1009.2,30.2,18.70,19,15.4,74,37,0,JAIPUR
19,967.4,964.4,1011.3,1007.2,31.8,21.50,15.4,13,49,30,0,JAIPUR
20,965.2,961.6,1008.4,1003.9,35,21.40,14.2,7.5,36,15,0,JAIPUR
21,963.8,960.3,1006.9,1001.9,38.2,22.60,13.8,9.4,38,15,0,JAIPUR
22,963.1,961.4,1005.9,1003,40.2,26.20,15.1,7.6,36,10,0,JAIPUR
23,964.5,962.4,1006.6,1003.7,41.8,26.20,13.2,8.1,25,10,0,JAIPUR
24,966.1,962.9,1008.4,1004.2,41.8,31.70,10.1,9.4,19,12,0,JAIPUR
25,965.7,962.7,1008.1,1004,42,29.00,14.5,9.2,28,12,0,JAIPUR
26,964.9,962,1007.2,1003.5,41,28.30,16,11.8,31,16,0,JAIPUR
27,965.1,961.7,1007.4,1003,41.4,28.00,13.4,6.8,25,9,0,JAIPUR
28,963.7,960.3,1005.9,1001.5,41.8,28.00,13.2,7.4,24,9,0,JAIPUR
29,963.3,958.8,1005.5,999.9,41.8,28.00,11.8,5.3,21,7,0,JAIPUR
30,960.4,956.6,1002.7,997.5,42.8,26.00,13,10.3,26,13,0,JAIPUR
31,,,,,,,,,,,,JAIPUR
1,977.7,974.7,1010.6,1006.3,37.4,15.90,9.6,9.5,32,16,0,CHURU
2,978.6,973.9,1011.4,1005.5,38.4,17.30,10.9,20.8,34,33,0,CHURU
3,976.5,973.2,1009.4,1004.5,39.7,19.00,13.3,25.5,42,38,0,CHURU
4,977.4,973,1010.1,1004,40.8,21.10,12.6,7.6,37,9,0,CHURU
5,975.6,972.4,1008,1003.4,43.6,23.50,15.1,9.5,38,12,0,CHURU
6,975.9,970.8,1008.4,1005.7,43.8,22.80,15,8.9,41,12,1.6,CHURU
7,974.6,947.6,1007.1,1007,42.2,24.60,20.2,14.7,54,39,0,CHURU
8,976.1,970.3,1008.7,1001.5,41.7,23.70,10.5,12.7,41,18,0,CHURU
9,974.2,971.3,1006.7,1002.4,41.2,23.50,19.2,11.3,53,16,0,CHURU
10,976.1,973.9,1008.4,1005,41.7,25.50,16.8,10.2,41,14,0,CHURU
11,977.6,972.2,1010.2,1003.4,41,25.10,15.6,11.4,39,17,0,CHURU
12,977.2,973.4,1009.8,1004.8,41.8,24.10,16.8,11.9,47,18,0,CHURU
13,979.2,975.6,1011.9,1007.2,40.2,25.10,16,15.5,44,25,0,CHURU
14,978.8,974.7,1011.5,1006,37.2,24.00,17.7,12.4,50,17,0,CHURU
15,976.8,970.7,1009.2,1001.8,40,25.70,16.1,12.3,54,17,0,CHURU
16,977.2,972.4,1010.1,1004.3,42,22.60,19.9,11.1,64,23,0.5,CHURU
17,977.6,976.4,1010.8,1009.8,33.4,19.20,18.1,18.6,67,83,0,CHURU
18,980.7,977,1014.4,1009.3,30.8,16.40,19.4,13.2,90,31,9.4,CHURU
19,979,975.2,1012.2,1007.3,30.4,18.10,16.9,12.4,62,30,0,CHURU
20,976.3,971.9,1009.1,1003.6,32.7,19.30,16.6,9.8,51,17,0,CHURU
21,973.9,970.3,1006.3,1001.5,36.6,21.20,10.9,8.8,34,13,0,CHURU
22,973.9,971.4,1006,1002.4,41.5,23.00,13.6,8.6,31,11,0,CHURU
23,974.5,972,1006.5,1002.8,41.9,24.60,14.5,11.9,31,14,0,CHURU
24,976.6,972.1,1008.6,1003,44.2,26.80,10.6,7.9,22,10,0,CHURU
25,975.6,972.1,1007.7,1003.1,44.4,26.20,17,8.1,38,10,0,CHURU
26,975.9,972.9,1008,1003.9,44.5,27.60,8.9,10,38,13,0,CHURU
27,976.8,972.1,1009,1003.1,42.7,24.80,13.5,8.2,31,11,0,CHURU
28,974.5,971,1006.6,1002,42.8,24.30,12.1,8.5,27,11,0,CHURU
29,973.4,968.1,1005.4,998.7,42.7,25.10,12.7,8.8,28,10,0,CHURU
30,969.8,965.7,1001.6,996.3,44.5,26.60,11.2,5.7,23,7,0,CHURU
31,,,,,,,,,,,,CHURU
1,990.1,988.5,1010.4,1008,37,16.20,12.6,10.6,50,21,0,GANGANAGAR
2,990.7,988.5,1011,1008.1,37.6,16.00,13.3,14.2,50,28,0,GANGANAGAR
3,989.5,986.5,1009.8,1005.8,38.5,17.30,13.7,12,49,21,0,GANGANAGAR
4,990.6,986.9,1010.8,1006.2,40.7,19.40,17,17.6,57,30,0,GANGANAGAR
5,989.5,986.1,1009.5,1005.4,39,20.80,20.6,23.7,63,41,0,GANGANAGAR
6,988.6,984,1008.6,1003.3,39.8,21.80,21.6,23.5,66,40,0,GANGANAGAR
7,986.4,983.8,1006.4,1003.5,40.3,22.60,24,16.2,76,39,0,GANGANAGAR
8,988.2,984.9,1008.3,1004.3,38.5,21.90,15.7,18.2,51,34,0,GANGANAGAR
9,988.1,984.5,1008.3,1003.7,39.4,20.50,21.2,19.6,71,32,0,GANGANAGAR
10,990.2,986.9,1010.2,1006.1,39,22.10,21,16.3,65,27,0,GANGANAGAR
11,990.6,985.9,1010.7,1005.1,39.7,22.30,17.9,12.8,57,21,0,GANGANAGAR
12,990.6,987.4,1010.6,1006.4,38.5,23.00,18.9,16.2,57,28,0,GANGANAGAR
13,992.8,988.4,1013.2,1008,37.6,22.90,19.6,17.6,70,35,0,GANGANAGAR
14,991.6,989,1011.6,1008.5,37.8,22.90,19.5,18.8,60,33,0,GANGANAGAR
15,990.3,983.3,1010.3,1002.5,39.8,23.20,19.9,15.8,58,25,0,GANGANAGAR
16,989.3,985.7,1009.6,1005.8,30.2,18.90,21.2,20.8,81,73,13.5,GANGANAGAR
17,991,989.3,1011.5,1009.3,28.3,17.20,20.4,18.3,92,54,13,GANGANAGAR
18,994.2,991.5,1014.9,1011.4,30,15.30,17.5,15.5,86,42,0,GANGANAGAR
19,991.6,988.1,1011.8,1007.8,33,18.40,18.3,16.3,68,36,0,GANGANAGAR
20,988.6,984.8,1008.7,1004.2,37.1,18.90,19.4,17.2,63,31,0,GANGANAGAR
21,986.8,983.1,1006.7,1002.9,38.9,21.60,20.9,17.2,61,27,0,GANGANAGAR
22,987,983.9,1006.7,1003,41.6,22.70,19,14.5,50,21,0,GANGANAGAR
23,987.2,984,1006.9,1002.9,43.6,23.80,20.2,14.2,49,18,0,GANGANAGAR
24,989.6,986.2,1009.5,1005.6,43,24.40,19.9,20.2,54,36,0,GANGANAGAR
25,989.6,985.9,1009.6,1005.3,34,22.90,19.6,19.4,61,37,0,GANGANAGAR
26,989.6,986.6,1009.6,1005.8,41.5,22.40,20.8,15.8,62,24,0.4,GANGANAGAR
27,989.5,986,1009.3,1005.1,40.7,23.60,18.5,13.2,47,20,0,GANGANAGAR
28,987.6,984.7,1007.2,1008.9,41.2,23.40,15.9,14.3,36,22,0,GANGANAGAR
29,986.4,981.4,1006.3,1000.3,43.4,23.50,14.4,15.4,35,21,0,GANGANAGAR
30,983.1,979.1,1002.7,998.1,42,24.80,15.6,12.5,36,19,0,GANGANAGAR
31,,,,,,,,,,,,GANGANAGAR
1,984.9,981.6,1010.2,1005.9,38.5,22.40,9.6,7.4,27,12,0,BIKANER
2,984.8,980,1010,1004,40.1,23.60,7.3,7.2,21,10,0,BIKANER
3,982.6,980.6,1007.9,1004.7,41.5,23.50,10.8,9.4,30,13,0,BIKANER
4,984.7,979.6,1009.7,1003.5,43.5,25.20,8.5,6.5,21,8,0,BIKANER
5,981.9,979.4,1006.7,1003.6,42.7,25.60,10.4,13,24,21,0,BIKANER
6,982.6,977.3,1007.7,1001.2,42.1,27.60,15.5,7.5,38,10,0,BIKANER
7,980.5,977.3,1005.5,1001.6,41.2,26.90,17.8,9.7,45,18,0,BIKANER
8,981.1,977,1006.1,1001,40,24.60,12.9,10.8,34,15,0,BIKANER
9,980.1,977.3,1005,1001.4,41.5,27.40,16.2,10.2,39,14,0,BIKANER
10,982.6,979.2,1007.7,1003.2,42.1,26.70,13.5,11.8,34,16,0,BIKANER
11,983.2,978.3,1008.3,1002.4,41.1,27.90,16.9,12.6,42,18,Trace,BIKANER
12,983.7,980.1,1009.1,1004.4,38.4,21.90,18.8,14.7,57,23,1.3,BIKANER
13,985.8,980.7,1011.2,1004.9,38.4,24.30,19.6,12.2,59,19,0,BIKANER
14,985.2,979.6,1010.4,1003.7,39.8,25.10,17.4,13,47,19,0,BIKANER
15,983.3,976.6,1008.3,1000.6,40.1,26.70,16.8,9.7,41,14,0,BIKANER
16,982.9,977.9,1008.3,1002.9,33.7,23.50,19.2,17.5,59,45,9,BIKANER
17,982.3,982.1,1007.9,1007.3,28.3,19.20,18.5,14.5,76,40,0,BIKANER
18,987.7,984.6,1013.6,1009.7,30.5,18.10,19.2,12.7,81,31,0,BIKANER
19,985.6,981.6,1011.1,1006.2,33,19.20,18.2,12.2,64,25,0,BIKANER
20,982.7,978.2,1008,1002.5,37.9,21.50,14.4,11.6,42,19,0,BIKANER
21,979.9,976.8,1004.8,1000.9,40.8,26.00,10.6,8.3,26,11,0,BIKANER
22,980.3,977.6,1005.2,1001.5,42.6,25.50,12.6,8,31,10,0,BIKANER
23,980.5,978.8,1005.2,1002.6,43.7,27.30,9.2,8.3,20,10,0,BIKANER
24,983.6,979.1,1008.3,1003,42.8,28.00,10.7,7,22,8,0,BIKANER
25,981.9,979.2,1006.4,1003.2,41.6,28.10,18.6,13.8,40,18,0,BIKANER
26,982.5,979.3,1007.3,1003.2,42.5,28.60,16.5,9.6,35,12,0,BIKANER
27,982.8,978.5,1007.5,1002.4,42.8,28.40,12.8,9.8,25,12,0,BIKANER
28,980.6,977.1,1005.3,1000.8,42.8,27.50,9.8,10.9,21,13,0,BIKANER
29,980.23,974,1004.9,997.7,44.2,29.90,11.4,6.9,24,8,0,BIKANER
30,975.7,972,1000.2,995.7,42.8,29.70,13,10.6,26,13,0,BIKANER
31,,,,,,,,,,,,BIKANER
1,989.7,986.3,1011.6,1007.2,41,24.10,10.3,6.7,28,9,0,BARMER
2,989.2,985.1,1011,1005.9,42,24.50,10,18.4,25,11,0,BARMER
3,989.1,984.5,1009.8,1005.3,43.1,28.30,16.7,8.5,40,11,0,BARMER
4,988.8,984.9,1010.5,1005.7,44.1,27.30,19.3,11.2,46,14,0,BARMER
5,988.2,985.4,1009.9,1006.3,42.7,28.00,14.3,10.3,34,13,0,BARMER
6,989.1,984.4,1011,1005.2,42.4,25.40,21.8,11.7,59,14,0,BARMER
7,986.7,981.3,1008.4,1001.9,42.8,27.00,21.7,10.4,56,12,0,BARMER
8,986.2,981.9,1007.4,1002.6,42.2,26.90,16.8,11.6,41,14,0,BARMER
9,985.9,983.1,1007.5,1003.9,42.8,28.20,16.9,9.2,41,12,0,BARMER
10,987.8,985.1,1009.4,1006,42.1,30.10,16.1,12.9,34,16,0,BARMER
11,988.5,984.2,1010.1,1005.1,42,29.90,16.8,10.9,37,14,0,BARMER
12,988.7,984.5,1010.5,1005.3,42.1,27.60,16.7,9,44,12,0,BARMER
13,988.5,985.3,1010.2,1006.2,41.3,27.80,19.1,14,46,19,0,BARMER
14,988.7,985.4,1010.4,1006.3,40.5,28.60,20.4,14,46,19,0,BARMER
15,987.9,988.9,1009.5,1008.2,36.3,28.50,16.4,11.6,38,23,0,BARMER
16,988.7,982.5,1010.7,1003.9,33.3,23.70,16.6,10.2,51,21,0,BARMER
17,988.9,986.4,1011.1,1007.4,32.6,19.40,15.5,13,54,28,5,BARMER
18,992.7,988.5,1014.9,1010,34.7,20.30,17.5,15.2,61,29,0,BARMER
19,991.1,986.4,1013.1,1007.5,37.4,22.30,16.2,14.2,61,23,0,BARMER
20,987.5,983.1,1009.2,1004.1,39.9,24.60,13.9,14,35,20,0,BARMER
21,985.6,982.7,1007.2,1003.6,42.2,26.80,19.6,13.4,48,18,0,BARMER
22,986.4,983.1,1008,1003.8,43.8,28.00,18.2,21.4,43,26,0,BARMER
23,987,984.6,1008.4,1005.2,44.2,30.30,14.8,12.4,30,15,0,BARMER
24,988.9,984.6,1010.6,1005.5,42.5,27.80,16.9,11.9,38,15,0,BARMER
25,988.8,984.3,1010.5,1005.2,41.1,26.10,17,21.4,42,29,0,BARMER
26,988,984.2,1009.5,1005,43,29.70,21.2,12.7,46,16,0,BARMER
27,987.6,988,1009.1,1004.7,43.3,30.80,11.4,7.6,22,9,0,BARMER
28,986.1,982.2,1007.6,1002.8,43.8,28.80,13.9,10.3,30,12,0,BARMER
29,984.6,986.2,1006.2,1000.4,43.5,28.90,18.2,11.9,40,14,0,BARMER
30,982.3,977.7,1003.8,998.5,42.1,28.30,15.3,13.8,37,18,0,BARMER
31,,,,,,,,,,,,BARMER
